DateTime|TotalHours|TotalFees

2015-12-13T15:05:18.093|10.0|100.00




2015-12-14T14:47:24.986|1.00|1.50


2015-12-14T14:47:25.002|3.50|3.75


2015-12-14T14:47:25.017|7.50|6.75


2015-12-14T14:47:25.017|31.50|24.75


2015-12-14T14:47:25.017|36.00|28.50


2015-12-14T14:47:25.033|38.01|30.75


2015-12-14T14:47:25.033|44.01|35.25


2015-12-14T14:47:25.033|47.14|38.25


2015-12-14T14:47:25.033|54.92|44.25


2015-12-15T00:51:19.106|0.27|1.50


2015-12-15T00:51:19.106|0.79|3.00


2015-12-15T00:51:19.122|1.31|4.50


2015-12-15T00:51:19.122|2.09|6.00


2015-12-15T00:51:19.122|2.87|7.50


2015-12-15T11:13:36.357|6.25|27.50


2015-12-15T11:13:36.467|11.47|57.50


2015-12-15T11:13:36.967|25.02|127.50


2015-12-15T11:13:37.076|40.39|207.50


2015-12-15T11:13:37.186|57.59|297.50


2015-12-15T11:13:37.295|76.61|397.50


2015-12-15T11:15:01.042|80.01|417.50


2015-12-15T11:15:01.151|85.23|447.50


2015-12-15T11:15:01.667|99.05|517.50


2015-12-15T11:15:01.776|114.68|597.50


2015-12-15T11:15:01.885|132.13|687.50


2015-12-15T11:15:01.995|151.41|787.50


2015-12-15T11:15:44.800|154.79|807.50


2015-12-15T11:15:44.909|159.99|837.50


2015-12-15T11:15:45.409|173.52|907.50


2015-12-15T11:15:45.519|188.89|987.50


2015-12-15T11:15:45.628|206.07|1077.50


2015-12-15T11:15:45.738|225.09|1177.50


2015-12-15T11:38:20.347|229.26|1202.50


2015-12-15T11:38:20.472|235.51|1237.50


2015-12-15T11:38:20.972|250.09|1312.50


2015-12-15T11:38:21.082|266.51|1397.50


2015-12-15T11:38:21.191|284.74|1492.50


2015-12-15T11:38:21.316|305.06|1597.50


2015-12-15T11:39:12.336|308.44|1617.50


2015-12-15T11:39:12.445|313.64|1647.50


2015-12-15T11:39:12.945|327.17|1717.50


2015-12-15T11:39:13.054|342.52|1797.50


2015-12-15T11:39:13.164|359.70|1887.50


2015-12-15T11:39:13.273|378.70|1982.50


2015-12-15T11:40:04.700|382.08|2002.50


2015-12-15T11:40:04.810|387.30|2032.50


2015-12-15T11:40:05.310|400.85|2102.50


2015-12-15T11:40:05.419|416.22|2182.50


2015-12-15T11:40:05.529|433.42|2272.50


2015-12-15T11:40:05.638|452.44|2372.50
